2017-11-04 12:22:34,1202,lowFloor,6,34,-41.2166405,174.8908691,Outbound
2017-11-04 12:23:04,1202,lowFloor,54,4,-41.2151985,174.8927765,Outbound,5000
2017-11-04 12:23:34,1202,lowFloor,54,9,-41.2143898,174.8942108,Outbound,5000
2017-11-04 12:23:34,1202,lowFloor,54,9,-41.2143898,174.8942108,Outbound,5000
2017-11-04 12:24:35,1202,lowFloor,6,47,-41.2120476,174.8998108,Outbound,5000
2017-11-04 12:25:36,1202,lowFloor,42,-24,-41.2104263,174.9029083,Outbound,5000
2017-11-04 12:26:04,1202,lowFloor,54,4,-41.2103348,174.9030304,Outbound,5000
2017-11-04 12:28:34,1202,lowFloor,258,67,-41.2108765,174.9043427,Outbound,5000
2017-11-04 12:29:35,1202,lowFloor,210,95,-41.2118683,174.9000549,Outbound,5000
2017-11-04 12:30:34,1202,lowFloor,150,103,-41.2151985,174.9018402,Outbound,5000
2017-11-04 12:32:34,1202,lowFloor,198,108,-41.2253799,174.9060059,Outbound,5000
2017-11-04 12:33:35,1202,lowFloor,186,95,-41.2324066,174.9042206,Outbound,5000
2017-11-04 12:36:04,1202,lowFloor,174,99,-41.2433090,174.9091187,Outbound,5000
2017-11-04 12:36:35,1202,lowFloor,162,148,-41.2468224,174.9101868,Outbound,5000
2017-11-04 12:37:06,1202,lowFloor,234,121,-41.2500648,174.9070892,Outbound,5000
2017-11-04 12:38:37,1202,lowFloor,114,85,-41.2553787,174.9101868,Outbound,5000
2017-11-04 12:39:36,1202,lowFloor,210,67,-41.2596130,174.9123230,Outbound,5000
2017-11-04 12:40:34,1202,lowFloor,162,34,-41.2641182,174.9099426,Outbound,5000
2017-11-04 12:41:05,1202,lowFloor,234,35,-41.2667313,174.9072113,Outbound,5000
2017-11-04 12:42:06,1202,lowFloor,246,-16,-41.2709656,174.9069672,Outbound,5000
2017-11-04 12:43:35,1202,lowFloor,162,-43,-41.2799759,174.9066010,Outbound,5000
2017-11-04 12:44:34,1202,lowFloor,210,-53,-41.2847481,174.9028015,Outbound,5000
2017-11-04 12:48:36,1202,lowFloor,234,-204,-41.3051987,174.8884888,Outbound,5000
2017-11-04 12:49:34,1202,lowFloor,18,0,-41.3078117,174.8850403,Inbound,8858
2017-11-04 12:49:34,1202,lowFloor,18,0,-41.3078117,174.8850403,Inbound
2017-11-04 12:49:34,1202,lowFloor,18,0,-41.3078117,174.8850403,Inbound
2017-11-04 12:54:34,1202,lowFloor,6,0,-41.3074493,174.8850403,Inbound
2017-11-04 13:00:06,1202,lowFloor,66,-22,-41.3055611,174.8864594,Inbound
2017-11-04 13:00:06,1202,lowFloor,66,-22,-41.3055611,174.8864594,Inbound
2017-11-04 13:01:06,1202,lowFloor,30,6,-41.3024063,174.8920746,Inbound,8858
2017-11-04 13:01:36,1202,lowFloor,18,-24,-41.2999725,174.8943329,Inbound,8858
2017-11-04 13:04:06,1202,lowFloor,42,6,-41.2887115,174.9002991,Inbound,8858
2017-11-04 13:05:05,1202,lowFloor,78,25,-41.2833977,174.9043427,Inbound,8858
2017-11-04 13:05:36,1202,lowFloor,6,19,-41.2810555,174.9068451,Inbound,8858
2017-11-04 13:07:35,1202,lowFloor,6,10,-41.2718658,174.9064941,Inbound,8858
2017-11-04 13:08:37,1202,lowFloor,54,24,-41.2660103,174.9084015,Inbound,8858
2017-11-04 13:13:05,1202,lowFloor,342,-55,-41.2435799,174.9092255,Inbound,8858
2017-11-04 13:14:37,1202,lowFloor,330,9,-41.2351990,174.9049377,Inbound,8858
2017-11-04 13:16:06,1202,lowFloor,6,-114,-41.2276306,174.9053040,Inbound,8858
2017-11-04 13:17:07,1202,lowFloor,6,-71,-41.2243004,174.9062500,Inbound,8858
2017-11-04 13:18:06,1202,lowFloor,6,-114,-41.2205162,174.9072113,Inbound,8858
2017-11-04 13:19:05,1202,lowFloor,306,-183,-41.2170029,174.9033966,Inbound,8858
2017-11-04 13:23:35,1202,lowFloor,114,-145,-41.2098846,174.9044647,Inbound,8858
2017-11-04 13:24:37,1202,lowFloor,162,-83,-41.2100639,174.9047089,Inbound,8858
2017-11-04 13:24:37,1202,lowFloor,162,-83,-41.2100639,174.9047089,Inbound,8858
2017-11-04 13:26:06,1202,lowFloor,162,6,-41.2100639,174.9047089,Inbound,8858
2017-11-04 13:29:07,1202,lowFloor,210,97,-41.2121353,174.9000549,Inbound,8858
2017-11-04 13:32:36,1202,lowFloor,198,96,-41.2197037,174.8892059,Inbound,8858
2017-11-04 13:37:34,1202,lowFloor,294,214,-41.2259216,174.8801422,Inbound,8858
2017-11-04 13:38:07,1202,lowFloor,294,247,-41.2256508,174.8795471,Inbound,8858
2017-11-04 13:39:06,1202,lowFloor,294,261,-41.2249298,174.8770447,Inbound,8858
2017-11-04 13:40:37,1202,lowFloor,294,307,-41.2241173,174.8744202,Inbound,8858
2017-11-04 13:41:04,1202,lowFloor,282,307,-41.2238503,174.8732300,Inbound,8858
2017-11-04 13:43:05,1202,lowFloor,282,485,-41.2227669,174.8697815,Inbound,8858
2017-11-04 13:44:36,1202,lowFloor,246,549,-41.2234001,174.8670349,Inbound,8858
2017-11-04 13:44:36,1202,lowFloor,246,549,-41.2234001,174.8670349,Inbound,8858
2017-11-04 13:46:05,1202,lowFloor,234,563,-41.2245712,174.8625031,Inbound,8858
2017-11-04 14:13:32,1170,lowFloor,342,14,-41.2437592,174.9092255,Inbound
2017-11-04 14:14:33,1170,lowFloor,330,15,-41.2383537,174.9070892,Inbound,8858
2017-11-04 14:14:33,1170,lowFloor,330,15,-41.2383537,174.9070892,Inbound
2017-11-04 14:15:33,1170,lowFloor,282,33,-41.2342072,174.9039917,Inbound,8858
2017-11-04 14:18:03,1170,lowFloor,18,3,-41.2256508,174.9058990,Inbound,8858
2017-11-04 14:24:04,1170,lowFloor,54,-66,-41.2100639,174.9035034,Inbound,8858
2017-11-04 14:26:04,1170,lowFloor,150,4,-41.2100639,174.9047089,Inbound,8858
2017-11-04 14:30:02,1170,lowFloor,210,167,-41.2124977,174.8998108,Inbound,8858
2017-11-04 14:30:32,1170,lowFloor,270,167,-41.2130394,174.8970795,Inbound,8858
2017-11-04 14:31:32,1170,lowFloor,234,92,-41.2162819,174.8911133,Inbound,8858
2017-11-04 14:32:02,1170,lowFloor,198,122,-41.2167320,174.8909912,Inbound,8858
2017-11-04 14:33:32,1170,lowFloor,210,125,-41.2213249,174.8880157,Inbound,8858
2017-11-04 14:36:34,1170,lowFloor,294,214,-41.2270012,174.8834839,Inbound,8858
2017-11-04 14:37:04,1170,lowFloor,282,244,-41.2270012,174.8833618,Inbound,8858
2017-11-04 14:38:04,1170,lowFloor,282,244,-41.2259216,174.8802643,Inbound,8858
2017-11-04 14:40:32,1170,lowFloor,294,306,-41.2249298,174.8770447,Inbound,8858
2017-11-04 14:42:02,1170,lowFloor,294,369,-41.2239380,174.8737183,Inbound,8858
2017-11-04 14:43:02,1170,lowFloor,282,482,-41.2236671,174.8721619,Inbound,8858
2017-11-04 14:45:33,1170,lowFloor,246,558,-41.2240295,174.8652496,Inbound,8858
2017-11-04 14:47:33,1170,lowFloor,246,558,-41.2253799,174.8545227,Inbound,8858
2017-11-04 14:49:32,1170,lowFloor,222,558,-41.2397957,174.8266296,Inbound,8858
2017-11-04 14:54:02,1170,lowFloor,222,422,-41.2609634,174.7890930,Inbound,8858
2017-11-04 14:54:02,1170,lowFloor,222,422,-41.2609634,174.7890930,Inbound,8858
2017-11-04 14:56:32,1170,lowFloor,150,452,-41.2710571,174.7818146,Inbound,8858
2017-11-04 14:56:32,1170,lowFloor,150,452,-41.2710571,174.7818146,Inbound,8858
2017-11-04 14:58:02,1170,lowFloor,210,482,-41.2763710,174.7815704,Inbound,8858
2017-11-04 15:01:02,1170,lowFloor,198,362,-41.2826767,174.7757416,Inbound,8858
2017-11-04 15:01:32,1170,lowFloor,234,392,-41.2827682,174.7756195,Inbound,8858
2017-11-04 15:02:33,1170,lowFloor,306,453,-41.2826767,174.7753754,Inbound,8858
2017-11-04 15:04:04,1170,lowFloor,198,374,-41.2862816,174.7762146,Inbound,8858
2017-11-04 15:05:02,1170,lowFloor,126,362,-41.2880821,174.7756195,Inbound,8858
2017-11-04 15:07:03,1170,lowFloor,126,303,-41.2910538,174.7766876,Inbound,8858
2017-11-04 15:24:03,1170,lowFloor,30,183,-41.2866402,174.7762146,Outbound
2017-11-04 15:26:02,1170,lowFloor,6,222,-41.2832184,174.7757416,Outbound,5000
2017-11-04 15:27:33,1170,lowFloor,18,153,-41.2801552,174.7764587,Outbound,5000
2017-11-04 15:28:03,1170,lowFloor,54,158,-41.2798843,174.7769318,Outbound,5000
2017-11-04 15:33:03,1170,lowFloor,42,243,-41.2635765,174.7853851,Outbound,5000
2017-11-04 15:33:33,1170,lowFloor,42,245,-41.2609634,174.7888489,Outbound,5000
2017-11-04 15:34:03,1170,lowFloor,42,245,-41.2605133,174.7893219,Outbound,5000
2017-11-04 15:37:34,1170,lowFloor,42,268,-41.2474518,174.8130493,Outbound,5000
2017-11-04 15:39:33,1170,lowFloor,54,277,-41.2435799,174.8194733,Outbound,5000
2017-11-04 15:40:33,1170,lowFloor,54,277,-41.2353783,174.8335419,Outbound,5000
2017-11-04 15:43:04,1170,lowFloor,78,277,-41.2242088,174.8644104,Outbound,5000
2017-11-04 15:45:03,1170,lowFloor,102,63,-41.2229462,174.8704987,Outbound,5000
2017-11-04 15:46:03,1170,lowFloor,114,123,-41.2241173,174.8743134,Outbound,5000
2017-11-04 15:49:02,1170,lowFloor,114,212,-41.2263718,174.8819427,Outbound,5000
2017-11-04 15:53:03,1170,lowFloor,54,172,-41.2142982,174.8943329,Outbound,5000
2017-11-04 15:55:04,1170,lowFloor,54,171,-41.2098846,174.9038696,Outbound,5000
2017-11-04 15:55:34,1170,lowFloor,54,171,-41.2097931,174.9040985,Outbound,5000
2017-11-04 15:56:34,1170,lowFloor,138,214,-41.2102470,174.9048157,Outbound,5000
2017-11-04 15:57:04,1170,lowFloor,138,244,-41.2102470,174.9048157,Outbound,5000
2017-11-04 15:59:03,1170,lowFloor,150,243,-41.2155609,174.9021912,Outbound,5000
2017-11-04 16:02:02,1170,lowFloor,174,122,-41.2322273,174.9043427,Outbound,5000
2017-11-04 16:02:34,1170,lowFloor,198,154,-41.2323189,174.9043427,Outbound,5000
2017-11-04 16:03:34,1170,lowFloor,102,142,-41.2360992,174.9058990,Outbound,5000
2017-11-04 16:09:07,1217,lowFloor,294,316,-41.2248383,174.8768158,Inbound,8858
2017-11-04 16:09:07,1217,lowFloor,294,316,-41.2248383,174.8768158,Inbound
2017-11-04 16:10:06,1217,lowFloor,282,323,-41.2237587,174.8730011,Inbound,8858
2017-11-04 16:10:36,1217,lowFloor,282,396,-41.2235794,174.8721619,Inbound,8858
2017-11-04 16:11:32,1170,lowFloor,246,572,-41.2496147,174.9084015,Outbound,5000
2017-11-04 16:12:02,1170,lowFloor,234,536,-41.2516861,174.9033966,Outbound
2017-11-04 16:14:02,1170,lowFloor,234,512,-41.2607841,174.9100647,Outbound,5000
2017-11-04 16:15:03,1170,lowFloor,210,453,-41.2670021,174.9070892,Outbound,5000
2017-11-04 16:15:34,1170,lowFloor,198,454,-41.2704239,174.9079132,Outbound,5000
2017-11-04 16:16:04,1170,lowFloor,186,456,-41.2736664,174.9060059,Outbound,5000
2017-11-04 16:16:32,1170,lowFloor,186,382,-41.2767296,174.9036255,Outbound,5000
2017-11-04 16:17:32,1170,lowFloor,162,392,-41.2808762,174.9069672,Outbound,5000
2017-11-04 16:19:34,1170,lowFloor,198,334,-41.2906952,174.8981476,Outbound,5000
2017-11-04 16:19:34,1170,lowFloor,198,334,-41.2906952,174.8981476,Outbound,5000
2017-11-04 16:20:04,1170,lowFloor,210,352,-41.2929459,174.8967133,Outbound,5000
2017-11-04 16:21:34,1170,lowFloor,234,274,-41.3019562,174.8924255,Outbound,5000
2017-11-04 16:29:33,1170,lowFloor,6,0,-41.3070908,174.8846741,Inbound
2017-11-04 16:30:03,1170,lowFloor,66,-26,-41.3056488,174.8863525,Inbound,8858
2017-11-04 16:31:03,1170,lowFloor,42,3,-41.3025856,174.8919525,Inbound,8858
2017-11-04 16:31:33,1170,lowFloor,18,-27,-41.3002434,174.8942108,Inbound,8858
2017-11-04 16:31:33,1170,lowFloor,18,-27,-41.3002434,174.8942108,Inbound,8858
2017-11-04 16:37:33,1170,lowFloor,342,93,-41.2803345,174.9067230,Inbound,8858
2017-11-04 16:40:32,1170,lowFloor,30,123,-41.2647476,174.9098206,Inbound,8858
2017-11-04 16:41:34,1170,lowFloor,18,98,-41.2591629,174.9125671,Inbound,8858
2017-11-04 16:42:06,1170,lowFloor,318,50,-41.2561913,174.9113770,Inbound,8858
2017-11-04 16:43:32,1170,lowFloor,270,92,-41.2531281,174.9047089,Inbound,8858
2017-11-04 16:44:34,1170,lowFloor,54,93,-41.2501564,174.9067230,Inbound,8858
2017-11-04 16:45:03,1170,lowFloor,342,101,-41.2470932,174.9103088,Inbound,8858
2017-11-04 16:46:04,1170,lowFloor,342,124,-41.2398834,174.9080353,Inbound,8858
2017-11-04 16:47:03,1170,lowFloor,342,166,-41.2365494,174.9060059,Inbound,8858
2017-11-04 16:47:03,1170,lowFloor,342,166,-41.2365494,174.9060059,Inbound,8858
2017-11-04 16:51:34,1170,lowFloor,282,34,-41.2172737,174.9043427,Inbound,8858
2017-11-04 16:53:32,1170,lowFloor,54,-28,-41.2101555,174.9033966,Inbound,8858
2017-11-04 16:55:04,1170,lowFloor,150,4,-41.2099762,174.9045868,Inbound,8858
2017-11-04 16:58:34,1170,lowFloor,294,126,-41.2111473,174.9017181,Inbound,8858
2017-11-04 16:59:04,1170,lowFloor,210,170,-41.2124977,174.8996887,Inbound,8858
2017-11-04 17:00:04,1170,lowFloor,234,124,-41.2138481,174.8952789,Inbound,8858
2017-11-04 17:00:33,1170,lowFloor,234,153,-41.2148399,174.8934937,Inbound,8858
2017-11-04 17:03:04,1170,lowFloor,198,157,-41.2211456,174.8881378,Inbound,8858
2017-11-04 17:05:03,1170,lowFloor,210,183,-41.2269135,174.8851471,Inbound,8858
2017-11-04 17:06:33,1170,lowFloor,294,246,-41.2266426,174.8822937,Inbound,8858
2017-11-04 17:07:34,1170,lowFloor,294,274,-41.2259216,174.8801422,Inbound,8858
2017-11-04 17:08:03,1170,lowFloor,294,303,-41.2257423,174.8796692,Inbound,8858
2017-11-04 17:09:35,1170,lowFloor,282,335,-41.2245712,174.8758545,Inbound,8858
2017-11-04 17:10:04,1170,lowFloor,282,335,-41.2238503,174.8733521,Inbound,8858
2017-11-04 17:10:33,1170,lowFloor,270,393,-41.2236671,174.8721619,Inbound,8858
2017-11-04 17:11:04,1170,lowFloor,270,424,-41.2236671,174.8721619,Inbound,8858
2017-11-04 17:13:34,1170,lowFloor,258,490,-41.2243881,174.8639374,Inbound,8858
2017-11-04 17:14:04,1170,lowFloor,270,490,-41.2248383,174.8613129,Inbound,8858
2017-11-04 17:15:05,1170,lowFloor,234,490,-41.2265511,174.8511810,Inbound,8858
2017-11-04 17:15:33,1170,lowFloor,234,490,-41.2288933,174.8434448,Inbound,8858
2017-11-04 17:17:04,1170,lowFloor,234,490,-41.2417755,174.8231812,Inbound,8858
2017-11-04 17:20:05,1170,lowFloor,234,394,-41.2542076,174.8013611,Inbound,8858
2017-11-04 17:20:36,1170,lowFloor,246,396,-41.2557411,174.7966003,Inbound,8858
2017-11-04 17:21:04,1170,lowFloor,234,398,-41.2579041,174.7929077,Inbound,8858
2017-11-04 17:21:35,1170,lowFloor,222,398,-41.2605133,174.7895660,Inbound,8858
2017-11-04 17:22:34,1170,lowFloor,222,377,-41.2657394,174.7832489,Inbound,8858
2017-11-04 17:24:34,1170,lowFloor,174,394,-41.2745705,174.7837219,Inbound,8858
2017-11-04 17:26:04,1170,lowFloor,234,424,-41.2786217,174.7788391,Inbound,8858
2017-11-04 17:26:35,1170,lowFloor,234,455,-41.2787132,174.7788391,Inbound,8858
2017-11-04 17:27:35,1170,lowFloor,234,455,-41.2799759,174.7764587,Inbound,8858
2017-11-04 17:30:06,1170,lowFloor,150,426,-41.2851982,174.7758636,Inbound,8858
2017-11-04 17:31:03,1170,lowFloor,198,435,-41.2869110,174.7760925,Inbound,8858
2017-11-04 17:35:05,1170,lowFloor,126,485,-41.2911453,174.7765656,Inbound,8858
2017-11-04 17:36:34,1170,lowFloor,126,454,-41.2927666,174.7794342,Inbound,8858
2017-11-04 17:38:34,1170,lowFloor,114,515,-41.2934875,174.7810974,Inbound,8858
2017-11-04 17:45:04,1170,lowFloor,282,0,-41.2938461,174.7824097,Outbound
2017-11-04 17:46:34,1170,lowFloor,294,65,-41.2934875,174.7812195,Outbound,5000
2017-11-04 17:47:34,1170,lowFloor,306,66,-41.2925873,174.7791901,Outbound,5000
2017-11-04 17:48:05,1170,lowFloor,306,5,-41.2915955,174.7774048,Outbound,5000
2017-11-04 17:51:05,1170,lowFloor,30,98,-41.2890739,174.7747803,Outbound,5000
2017-11-04 17:55:04,1170,lowFloor,6,157,-41.2833061,174.7754974,Outbound,5000
2017-11-04 17:56:04,1170,lowFloor,354,164,-41.2816849,174.7760925,Outbound,5000
2017-11-04 17:57:03,1170,lowFloor,354,106,-41.2796135,174.7769318,Outbound,5000
2017-11-04 17:57:35,1170,lowFloor,42,95,-41.2788048,174.7784729,Outbound,5000
2017-11-04 17:58:34,1170,lowFloor,18,130,-41.2770004,174.7808685,Outbound,5000
2017-11-04 17:59:04,1170,lowFloor,6,106,-41.2747498,174.7837219,Outbound,5000
2017-11-04 17:59:33,1170,lowFloor,342,93,-41.2715950,174.7819366,Outbound,5000
2017-11-04 18:01:04,1170,lowFloor,54,107,-41.2624054,174.7870636,Outbound,5000
2017-11-04 18:01:04,1170,lowFloor,54,107,-41.2624054,174.7870636,Outbound,5000
2017-11-04 18:03:34,1170,lowFloor,66,109,-41.2524986,174.8049316,Outbound,5000
2017-11-04 18:05:03,1170,lowFloor,66,63,-41.2472725,174.8135223,Outbound,5000
2017-11-04 18:05:03,1170,lowFloor,66,63,-41.2472725,174.8135223,Outbound,5000
2017-11-04 18:07:02,1170,lowFloor,66,64,-41.2320480,174.8380737,Outbound,5000
2017-11-04 18:07:32,1170,lowFloor,78,64,-41.2281723,174.8451080,Outbound,5000
2017-11-04 18:08:32,1170,lowFloor,54,64,-41.2236671,174.8588104,Outbound,5000
2017-11-04 18:09:02,1170,lowFloor,78,64,-41.2243881,174.8623962,Outbound,5000
2017-11-04 18:14:32,1170,lowFloor,18,-88,-41.2270927,174.8850403,Outbound,5000
2017-11-04 18:15:02,1170,lowFloor,18,-58,-41.2263718,174.8853912,Outbound,5000
2017-11-04 18:16:04,1170,lowFloor,18,-84,-41.2225876,174.8872986,Outbound,5000
2017-11-04 18:19:03,1170,lowFloor,78,-72,-41.2127686,174.8962402,Outbound,5000
2017-11-04 18:22:02,1170,lowFloor,150,-58,-41.2102470,174.9048157,Outbound,5000
2017-11-04 18:23:32,1170,lowFloor,306,-24,-41.2111473,174.9018402,Outbound,5000
2017-11-04 18:25:02,1170,lowFloor,90,-65,-41.2173615,174.9054108,Outbound,5000
2017-11-04 18:25:02,1170,lowFloor,90,-65,-41.2173615,174.9054108,Outbound,5000
2017-11-04 18:26:03,1170,lowFloor,162,-75,-41.2223167,174.9070892,Outbound,5000
2017-11-04 18:27:32,1170,lowFloor,198,-88,-41.2274513,174.9054108,Outbound,5000
2017-11-04 18:28:03,1170,lowFloor,174,-57,-41.2296143,174.9049377,Outbound,5000
2017-11-04 18:31:04,1170,lowFloor,162,-71,-41.2437592,174.9093475,Outbound,5000
2017-11-04 18:32:34,1170,lowFloor,174,-37,-41.2525864,174.9031525,Outbound,5000
2017-11-04 18:35:32,1170,lowFloor,174,-88,-41.2643890,174.9100647,Outbound,5000
2017-11-04 18:38:33,1170,lowFloor,174,-147,-41.2807846,174.9069672,Outbound,5000
2017-11-04 18:39:02,1170,lowFloor,222,-185,-41.2832184,174.9053040,Outbound,5000
2017-11-04 18:40:02,1170,lowFloor,222,-190,-41.2883530,174.9008942,Outbound,5000
2017-11-04 18:40:31,1170,lowFloor,234,-149,-41.2889824,174.8999329,Outbound,5000
2017-11-04 18:43:02,1170,lowFloor,210,-238,-41.3021355,174.8921814,Outbound,5000
2017-11-04 18:43:33,1170,lowFloor,222,-219,-41.3047485,174.8893280,Outbound,5000
2017-11-04 18:44:02,1170,lowFloor,270,-258,-41.3053780,174.8874207,Outbound,5000
2017-11-04 18:50:28,1618,lowFloor,318,1085,-41.2906952,174.7762146,Outbound,5000
2017-11-04 18:52:31,1618,lowFloor,294,1111,-41.2891617,174.7750244,Outbound,5000
2017-11-04 18:54:02,1618,lowFloor,18,1142,-41.2869110,174.7760925,Outbound,5000
2017-11-04 18:54:28,1618,lowFloor,78,1168,-41.2867317,174.7762146,Outbound,5000
2017-11-04 18:54:59,1618,lowFloor,66,1199,-41.2866402,174.7764587,Outbound,5000
2017-11-04 18:55:58,1618,lowFloor,18,1138,-41.2827682,174.7758636,Outbound,5000
2017-11-04 18:56:29,1618,lowFloor,318,1169,-41.2828560,174.7757416,Outbound,5000
2017-11-04 18:59:00,1618,lowFloor,54,1140,-41.2784424,174.7790680,Outbound,5000
2017-11-04 19:01:30,1618,lowFloor,330,1230,-41.2742996,174.7834778,Outbound,5000
2017-11-04 19:02:01,1618,lowFloor,330,1233,-41.2729454,174.7827759,Outbound,5000
2017-11-04 19:04:02,1618,lowFloor,30,1322,-41.2637596,174.7852783,Outbound,5000
2017-11-04 19:06:00,1618,lowFloor,66,1301,-41.2546577,174.7999268,Outbound,5000
2017-11-04 19:06:27,1618,lowFloor,54,1301,-41.2526779,174.8044586,Outbound,5000
2017-11-04 19:07:30,1618,lowFloor,42,1301,-41.2474518,174.8130493,Outbound,5000
2017-11-04 19:07:59,1618,lowFloor,54,1294,-41.2448387,174.8172150,Outbound,5000
2017-11-04 19:09:00,1618,lowFloor,54,1294,-41.2368202,174.8312836,Outbound,5000
2017-11-04 19:09:31,1618,lowFloor,54,1294,-41.2322273,174.8376007,Outbound,5000
2017-11-04 19:10:29,1618,lowFloor,66,1294,-41.2257423,174.8528595,Outbound,5000
2017-11-04 19:11:00,1618,lowFloor,90,1294,-41.2235794,174.8594055,Outbound,5000
2017-11-04 19:11:57,1618,lowFloor,66,1197,-41.2236671,174.8660889,Outbound,5000
2017-11-04 19:12:29,1618,lowFloor,54,1200,-41.2228584,174.8681030,Outbound,5000
2017-11-04 19:13:30,1618,lowFloor,126,1230,-41.2230377,174.8706207,Outbound,5000
2017-11-04 19:15:30,1618,lowFloor,102,1243,-41.2254715,174.8788300,Outbound,5000
2017-11-04 19:16:59,1618,lowFloor,114,1321,-41.2269135,174.8832397,Outbound,5000
2017-11-04 19:18:31,1618,lowFloor,18,1351,-41.2245712,174.8863525,Outbound,5000
2017-11-04 19:29:36,1217,lowFloor,354,0,-41.3071823,174.8846741,Inbound
2017-11-04 19:30:35,1217,lowFloor,54,5,-41.3055611,174.8865814,Inbound,8858
2017-11-04 19:31:06,1217,lowFloor,54,-10,-41.3042984,174.8899231,Inbound,8858
2017-11-04 19:33:35,1217,lowFloor,354,84,-41.2959213,174.8959961,Inbound,8858
2017-11-04 19:34:35,1217,lowFloor,18,95,-41.2921371,174.8970795,Inbound,8858
2017-11-04 19:36:06,1217,lowFloor,54,106,-41.2852898,174.9019623,Inbound,8858
2017-11-04 19:37:05,1217,lowFloor,330,125,-41.2804260,174.9067230,Inbound,8858
